enginebStandard,enginebEntity,enginebAttribute,relationshipTo,DataType,MS_DataType,Description
AP,apPaymentData,approvedBy,,TEXT,string,User ID (from User_Listing file) for person who approved the entry.
AP,apPaymentData,approvedDateTime,,DATE,date,The DateTime the entry was approved.
AP,apPaymentData,batchId,,TEXT,string,Systems generated ID for batch
AP,apPaymentData,description,,TEXT,string,Description of the payment.
AP,apPaymentData,glCreditAccountNumber,chartOfAccounts.glAccountNumber,TEXT,string,GL account number on which the credit side of the transaction has been posted.
AP,apPaymentData,glDebitAccountNumber,chartOfAccounts.glAccountNumber,TEXT,string,GL account number on which the debit side of the transaction has been posted.
AP,apPaymentData,lastModifiedBy,,TEXT,string,User_ID (from User_Listing file) for the last person modifying this entry.
AP,apPaymentData,lastModifiedDateTime,,DATE,date,The date and time the entry was last modified before posting.
AP,apPaymentData,lineAccountId,,TEXT,string,"General Ledger Account code of the GL-revenue-account. Can be including sub-account id. It can contain many different levels to identify the Account. It could include cost centres such as company, division, region, group and branch/department."
AP,apPaymentData,lineAnalysisAmountCurrencyAmount,,NUMERIC,decimal,"Transaction monetary amount in loca lcurrency."
AP,apPaymentData,lineAnalysisAnalysisAmount,,NUMERIC,decimal,"The functional or group currency related tothe receipt amount. See ISO 4217 coding."
AP,apPaymentData,lineAnalysisAnalysisAmountCurrencyCode,,TEXT,string,"Transaction monetary amount recorded in the reporting currency."
AP,apPaymentData,lineAnalysisAnalysisAmountExchangeRate,,NUMERIC,decimal,The exchange rate used. CurrencyAmount x ExchangeRate = Amount 
AP,apPaymentData,lineAnalysisAnalysisId,,TEXT,string,"Analysis ID: e.g. 1200-HDOF-TR (for cost center treasury in the headoffice), P-4800-123 (for project 123 in branch 4800)"
AP,apPaymentData,lineAnalysisAnalysisIdDescription,,TEXT,string,"Description of the AnalysisID: e.g. ""Headoffice-Treasury""."
AP,apPaymentData,lineAnalysisAnalysisType,,TEXT,string,"Analysis type identifier: e.g. CC (for Cost Center), DEP (for department), etc"
AP,apPaymentData,lineAnalysisAnalysisTypeDescription,,TEXT,string,"Description of the AnalysisType, e.g. ""Cost Center"""
AP,apPaymentData,lineApprovedBy,userListing.userId,TEXT,string,"User ID (from User_Listing file) for person who approved the entry."
AP,apPaymentData,lineApprovedDateTime,,DATE,date,The date and time the entry was approved.
AP,apPaymentData,lineBusinessUnitCode,businessUnit.businessUnitCode,TEXT,string,"Used to identify the business unit, region, branch, and so on at the level that financial statements are being audited. Must match the Business_Unit_Code in the Business_Unit_Listing file."
AP,apPaymentData,lineDebitCreditIndicator,,TEXT,string,Indicates whether the amounts on line-level are debit or credit amounts. Entry must correspond to entry reflected in General Ledger Entry. Signing of line amounts is relative to this indicator. E.g. a return can lead to a negative amount
AP,apPaymentData,lineDescription,,TEXT,string,Description of Invoice Line.
AP,apPaymentData,lineLastModifiedDate,,TEXT,string,The date the entry was last modified.
AP,apPaymentData,lineLineNumber,,TEXT,string,Line item number of the invoice.
AP,apPaymentData,lineModifiedBy,userListing.userId,TEXT,string,"User_ID (from User_Listing file) for the lastperson modifying this entry."
AP,apPaymentData,linePaymentAmountLocalCurrencyCode,,TEXT,string,"The currency for local reportingrequirements. See ISO 4217 coding."
AP,apPaymentData,linePaymentAmountReporting,,NUMERIC,decimal,"Transaction monetary amount recorded inthe reporting currency."
AP,apPaymentData,linePaymentAmountReportingCurrency,,NUMERIC,decimal,"The reporting currency related to thepayment amount for nonconsolidatedreporting. See ISO 4217 coding."
AP,apPaymentData,linePaymentLineAmount,,NUMERIC,decimal,"Transaction monetary amount recorded inthe functional or group currency. No multicurrency translation should need to beperformed on this amount because all transactions should be recorded in a single currency."
