BusinessArea,Entity,Sub Entity,Attributes,Keys,Data Type,Length,Description,
Contract,Contract,,ContractId,PK,int32,,The unique identifier of a contract. A written agreement between two or more parties specifying the terms and conditions under which business obligations will be performed.,
Contract,Contract,,ContractDescription,,string,512,The description of the contract.,
Contract,Contract,,ContractSignedDate,,date,,The date that the Contract was signed.,
Contract,Contract,,ContractEffectiveStartDate,,date,,The date that the Contract goes into effect.,
Contract,Contract,,ContractEffectiveEndDate,,date,,The date that the Contract is terminated or expires.,
Contract,Contract,,ContractPeriodMonths,,int32,,The number of months that the contract is to be in effect.,
Contract,Contract,,AutomaticRenewalIndicator,,boolean,,Indicates that the Contract is to be automatically renewed upon expiration.,
Contract,Contract,,ContractTypeId,FK,int32,,The unique identifier of a Contract Type.,
Contract,Contract,,ReferenceId,,string,,The actual reference number or string used to identify a particular entity in a system or process.,
Contract,Contract,,ContactEvent,,,,,
Contract,Contract,,LeaseId,FK,,,,
Contract,Contract,,LandloardId,FK,int32,,The unique identifier of a landloard,
Contract,Contract,,GovernmentalBodyId,FK,int32,,,
Contract,Contract,Duration,DurationId,PK,int32,,Unique Id that describes a period of time in various units from seconds to years,
Contract,Contract,Duration,Description,,string,1024,A narrative description of this duration to be included IN ADDITION to the specific duration using the other attributes of this entity.,
Contract,Contract,Duration,Years,,string,,"the number of complete years in this duration. When calculating an end date by adding this duration to a start date, the number of years are added first, before any other duration attributes ",
Contract,Contract,Duration,Months,,string,,"the number of  complete months in this duration. When calcylating an end date by adding this duration to a start date, the number of years are added first, then the number of months, before any other duration attributes. ",
Contract,Contract,Duration,Weeks,,string,,"The number of complete weeks in this duration. When calculating an end date by adding this duration to a start date, the number of years are added first, then the months, then the weeks, before any other duration attributes.",
Contract,Contract,Duration,Days,,string,,"The number of complete days in this duration. When calculating an end date by adding this duration to a start date, the number of years are added first, then the months, then weeks, then days, then hours, before any other duration attributes. ",
Contract,Contract,Duration,Hours ,,string,,"The number of complete hours in this duration. When calculating an end date by adding this duration to a start date, the number of years are added first, then the months, then weeks, then days, then hours, before any other duration attributes. ",
Contract,Contract,Duration,Minutes,,string,,"The number of complete minutes in this duration. When calculating an end date by adding this duration to a start date, the number of years are added first, then the months, then weeks, then days, then hours, then minutes, before any other duration attributes ",
Contract,Contract,Duration,Seconds,,string,,"The number of complete seconds in this duration. When calculating an end date by adding this duration to a start date, the number of years are added first, then the months, then weeks, then days, then hours, then minutes and finally seconds. ",
Contract,Contract,Duration,ContractId,FK,int32,,,
Contract,Contract,GovernmentalBody,GovernmentalBodyId,PK,int32,,The unique identifier of an Governmental Body.,
Contract,Contract,GovernmentalBody,TransactionId,FK,int32,,The unique identifier of a transaction,
RealEstate-Legal,Contract,GovernmentalBody,GovBodyName,,string,,,
RealEstate-Legal,Contract,GovernmentalBody,GovBodyAddress,,string,,,
RealEstate-Legal,Contract,GovernmentalBody,GovBodyURL,,string,,,
RealEstate-Legal,Contract,GovernmentalBody,ContractId,FK,int32,,The unique identifier of a contract,
RealEstate-Legal,Contract,PropertyConstuctionForm,FormId,PK,int32,,,
RealEstate-Legal,Contract,PropertyConstuctionForm,PhysicalFormType,,string,,"Other	The form of the property construction is not one of those specified.
Block	The property is a block comprising multiple units intended for separate occupancy by multiple tenants or owners
Residential block	A block of multiple residential units (including predominantly residential mixed use blocks with commercial use on the ground or lower floors).
Commercial block	A block of multiple commercial units (typically offices)
Discrete building	A discrete building with its own private entrance that is or was originially intended for occupancy by one tenant or owner, i.e. it was not built with the intention of multiple tenants or owners, even if it has now been divded for this use
House	A multi-storey dwelling designed for occupancy by one family group
Divided house	A multi-storey dwelling designed for occupancy by one family group but that has subsequently been converted to accommodate multiple family groups
Bungalow	A low dwelling designed for occupancy by one family group and having only one storey, or upper rooms set into the roof space
Dormer bungalow	A low dwelling designed for occupancy by one family group with upper rooms set into the roof space and dormer windows
Warehouse/store	A structure who primary purpose is for temporary or permanent storage. This may include distribution warehouses, barns etc.
Industrial	A property for industrial purposes, including manufacturing, processing and generating.
Office	An office building for the sole occupancy of one tenant or owner
Retail	A retail building occupied by one or more retail tenants or owners
Ancilliary	A secondary building with its own entrance and no entrance from the main bulding, typically detached from the main building and providing some supporting purpose to the main building or buildings on the same site.
Garage	A garage designed as a place to keep one or more cars
Boiler house	A building containing the boiler and associated plant
Workshop	A workshop.
Fuel store	A building for storing fuel, e.g. a wood or coal shed.",
Contract,Contract,PropertyConstuctionForm,PropertyId,FK,int32,,,
Contract,Contract,PropertyConstuctionForm,ContractId,FK,int32,,The unique identifier of a contract,
Contract,Lease,,LeaseId,PK,int32,,The unique identifier of a lease,
Document Management,Lease,,SendLeaseData,,,,,
Document Management,Lease,,Leassor,,,,,
Document Management,Lease,,LeassorId,FK,,,,
Document Management,Lease,SendLeaseContext,SendLeaseContextId,PK,int32,,,
Document Management,Lease,SendLeaseContext,LeaseId,FK,int32,,,
Document Management,Lease,SendLeaseContext,Description,,string ,," A free text description of why this lease is being summarised for the client, for example 'Lease report following acquisition' or 'Summary of lease granted",
Document Management,Lease,SendLeaseContext,TypeDescription ,,string ,," A further description to describe the type of lease transaction or activity that has taken place and given rise to this summary or report being provided, if the Transaction Type.Code does not adequately describe the data.",
Document Management,Lease,SendLeaseContext,TypeCode ,,string ,, The type of lease transaction or activity that has taken place and given rise to this summary or report being provided,
Document Management,Lease,SendLeaseAbstract,SendLeaseAbstractId,PK,int32,,,
Document Management,Lease,SendLeaseAbstract,LeaseAbstract ,,,A summary of the terms of the lease condensed to its important information.,,
Document Management,Lease,SendLeaseAbstract,AttachmentId,FK,int32,An electronic copy of a document that may be attached to a message.,,
Document Management,Lease,SendLeaseAbstract,leaseId,,,,,
Document Management,Lease,SendLease,SendLeaseId,PK,int32,,,
Document Management,Lease,SendLease,LeaseId,FK,int32,,,
Document Management,Lease,SendLease,Header ,,,,,
Document Management,Lease,SendLease,SendLeaseContext,,,,,
Document Management,Lease,SendLease,LegalAdvisor ,,,,,
Document Management,Lease,,ContractingOut,,string,,,
Document Management,Lease,,ResidentialLease,,string,,,
Document Management,Lease,,CommercialLease,,string,,,
Document Management,Lease,,OCLease,,string,,,
Document Management,Lease,,GrossLeasableArea,FK,string,,,
Document Management,Lease,MiscellaneousTenantCovenants,MiscellaneousTenantCovenantsId,PK,int32,Describes other miscellaneous provisions relating to the lease.,,
Document Management,Lease,MiscellaneousTenantCovenants,leaseId,FK,int32,,,
Document Management,Lease,MiscellaneousTenantCovenants,EstateRentcharge,,string,"If the lease contains an Estate rentcharge, refer to the clause, schedule or paragraph of a schedule in the lease that contains the estate rentcharge. This should meet the requirements of LR12 (see https://www.gov.uk/government/publications/prescribed-clauses-leases)",,
Document Management,Lease,MiscellaneousTenantCovenants,SaleNotices,,string,Describes the rights and conditions around which the landlord can erect for sale boards at the property.,,
Document Management,Lease,MiscellaneousTenantCovenants,LandlordsCosts,,string,Describes whether the Tenant has to pay landlords costs etc in respect of consents under the lease.,,
Document Management,Lease,MiscellaneousTenantCovenants,ComplianceWithStatuteIndicator,,boolean,Is the tenant required to comply with statute. Default is YES,,
Document Management,Lease,MiscellaneousTenantCovenants,PlanningRestrictionsCode,,string,Code describing restrictions on the tenant in respect of applying for planning permission.,,
Document Management,Lease,,MarketLeaseAssumptionTable,,string,,,
Document Management,Lease,,LeaseholdInformationFormSend,,string,,Leasehold Information Form Send use case rendition,
Document Management,Lease,,LeaseholdInformationForm,,string,,Leasehold Information Form Send use case rendition,
Document Management,Lease,,LeaseType,,string,,,
Document Management,Lease,,LeaseResponsibility,,string,,,
Document Management,Lease,,LeaseInformation,,string,,,
Document Management,Lease,,LeaseIncome,,decimal,,,
Document Management,Lease,,LeaseHistory,,string,,,
Document Management,Lease,,LeaseExpense,,string,,,
Document Management,Lease,,LeaseEventOrRight,,string,,,
Document Management,Lease,,LeaseContractDescription,,string,,,
Document Management,Lease,,LeaseConfirmation,,Boolean,,,
Document Management,Lease,,LeaseConcessions,,string,,,
Document Management,Lease,,LeaseCharges,,decimal,,,
Document Management,Lease,,LeaseCharacteristics,,string,,,
Document Management,Lease,,LeaseAbstract,,string,,,
Document Management,Lease,,LandLease,,string,,,
Document Management,Lease,,ComparableLeaseInformation,,string,,,
Document Management,Lease,,InterestLease,,string,,,
Document Management,Lease,,ComparableLease,,string,,,
Document Management,Lease,,AvailableLeaseSpace,,string,,,
Document Management,Lease,,ApartmentLeaseInformation,,string,,,
Document Management,Lease,,TenantId,FK,int32,,,
Document Management,Lease,,LandloardId,FK,int32,,The unique identifier of a Landloard.,
Document Management,Lease,SucceedingLease,SucceedinLeaseId,PK,int32,,,
Document Management,Lease,SucceedingLease,LeaseId,FK,int32,,,
Document Management,Lease,SucceedingLease,LeaseDate,,data ,,"The date on which the lease was completed (i.e. signed, dated and released between the parties). This is not the date on which rights of occupation commence, which is recorded as Lease Start Date. This should meet the requirements of LR1 (see https://www.gov.uk/government/publications/prescribed-clauses-leases",
Document Management,Lease,SucceedingLease,Description,,string ,,A text description of the Lease Type if the code value used is 'Other',
Document Management,Lease,SucceedingLease,AgreementTypeDescription ,,string ,,A text description of the Agreement Type if the code value used is 'Other',
Document Management,Lease,SucceedingLease,ContractedOutIndicator ,,boolean ,,YES means that the Lease is validly contracted out of the security of tenure provisions for business tenancies contained the Landlord & Tenant act 1954. YES would map to 'Outside' the Act.,
Document Management,Lease,SucceedingLease,AgreementTypeCode,,int32,,"The type of document being exchanged, e.g. Licence, Lease etc.",
Document Management,Lease,SucceedingLease,LeaseTypeDescription ,,String ,,A text description of the Lease Type if the code value used is 'Other',
