,,Duplicates,enginebStandard,enginebEntity,enginebAttribute,relationshipTo,DataType,MS_DataType,Description
Company,Name,name,GL,Header,CompanyName,,TEXT,String,Company Name
CompanyAddress,Number,#N/A,GL,Header,CompanyAddressNumber,,TEXT,String,Number of the building
CompanyAddress,Country,#N/A,GL,Header,CompanyAddressCountry,,TEXT,String,TWO-letter country code according to ISO 3166-1 alpha 2 standard. Example NL for the Netherlands
CompanyAddress,PostalCode,#N/A,GL,Header,CompanyAddressPostalCode,,TEXT,String,Post Code or Zip Code
CompanyAddress,StreetName,#N/A,GL,Header,CompanyAddressStreetName,,TEXT,String,Name of the street
CompanyAddress,AddressType,#N/A,GL,Header,CompanyAddressAddressType,,TEXT,String,"Field to differentiate between multiple addresses. To indicate the type of address. Choose from the predefined enumeration. (ex; StreetAddress, PostalAddress, BillingAddress)"
CompanyAddress,AdditionalAddressDetail,additionalAddressDetail,GL,Header,CompanyAddressAdditionalAddressDetail,,TEXT,String,Address lines
CompanyAddress,City,#N/A,GL,Header,CompanyAddressCity,,TEXT,String,City or main Town
CompanyContactContactPerson,BirthName,#N/A,GL,Header,CompanyContactContactPersonBirthName,,TEXT,String,BirthName
CompanyContactContactPerson,Salutation,#N/A,GL,Header,CompanyContactContactPersonSalutation,,TEXT,String,"A formal sign or expression of greeting, expressed as text, that is appropriate for the person such as Right Honourable, Monsignor or Madam."
CompanyBankAccount,BankAccountName,bankAccountName,GL,Header,CompanyBankAccountBankAccountName,,TEXT,String,The name of the individual or company holding the bank account.
CompanyBankAccount,BankAccountNumber,bankAccountNumber,GL,Header,CompanyBankAccountBankAccountNumber,,TEXT,String,The number allocated to the account by the individual's or company's own bank.
CompanyBankAccount,IBANNumber,IBANNumber,GL,Header,CompanyBankAccountIBANNumber,,TEXT,String,International Bank Account Number ISO 13616
CompanyBankAccount,SortCode,sortCode,GL,Header,CompanyBankAccountSortCode,,TEXT,String,Identifier for the bank branch at which the account in held. May be needed to uniquely identify the account.
CompanyTaxRegistration,TaxRegistrationNumber,taxRegistrationNumber,GL,Header,CompanyTaxRegistrationTaxRegistrationNumber,,TEXT,String,Unique number issued by a Revenue Body for use by the company.
CompanyAddress,Region,#N/A,GL,Header,CompanyAddressRegion,,TEXT,String,Country specific code to indicate regions / provinces within the tax authorit. Preferably described according to ISO 3166-2. Example GB-KEN for Kent county in the United Kingdom.
CompanyAddress,Building,#N/A,GL,Header,CompanyAddressBuilding,,TEXT,String,Building Address detail
CompanyContact,Email,email,GL,Header,CompanyContactEmail,,TEXT,String,Company e-mail address
CompanyContact,Fax,fax,GL,Header,CompanyContactFax,,TEXT,String,Company fax number
CompanyContactContactPerson,FirstName,firstName,GL,Header,CompanyContactContactPersonFirstName,,TEXT,String,FirstName
CompanyContactContactPerson,Initials,#N/A,GL,Header,CompanyContactContactPersonInitials,,TEXT,String,Initials
CompanyContactContactPerson,LastName,lastName,GL,Header,CompanyContactContactPersonLastName,,TEXT,String,LastName
CompanyContactContactPerson,LastNamePrefix,#N/A,GL,Header,CompanyContactContactPersonLastNamePrefix,,TEXT,String,"A textual expression of a prefix that precedes the family persons family name such as Van, Von"
CompanyContactContactPerson,Other…,#N/A,GL,Header,CompanyContactContactPersonOther…,,TEXT,String,Represents space to allow individual Revenue Bodies to add further elements
Company,RegistrationNumber,registrationNumber,GL,Header,CompanyRegistrationNumber,,TEXT,String,"Unique number to identify the company in the accounting records, issued by a government body or created by the company for internal purposes to identify different entities within their corporate group."
CompanyTaxRegistration,TaxType,taxType,GL,Header,CompanyTaxRegistrationTaxType,,TEXT,String,For use where information reported in the SAF-T covers more than one type of tax regime; to identify the type of tax regime to which the entry relates.
CompanyTaxRegistration,TaxVerificationDate,taxVerificationDate,GL,Header,CompanyTaxRegistrationTaxVerificationDate,,DATE,Date,The date that the tax registration details referred to above were last checked.
CompanyContact,Telephone,telephone,GL,Header,CompanyContactTelephone,,TEXT,String,Company telephone number
CompanyContactContactPerson,Title,title,GL,Header,CompanyContactContactPersonTitle,,TEXT,String,Title
CompanyContact,Website,website,GL,Header,CompanyContactWebsite,,TEXT,String,Company website URL
CompanyTaxRegistration,TaxAuthority,taxAuthority,GL,Header,CompanyTaxRegistrationTaxAuthority,,TEXT,String,Identification of the Revenue Body to which the TaxType refers.
CompanyTaxRegistration,TaxNumber,taxNumber,GL,Header,CompanyTaxRegistrationTaxNumber,,TEXT,String,The tax registration number for the particular tax regime referred to by TaxType eg VAT number.
SelectionCriteriaChoose reporting criteria 1 or 2 for saf reportReporting Criteria 2,PeriodEnd,#N/A,GL,Header,SelectionCriteriaChoose reporting criteria 1 or 2 for saf reportReporting Criteria 2PeriodEnd,,TEXT,String,The last Accounting Period covered by the SAF.
